sentence,label,target_position,target_word,pos_tag,gloss,eg_sent
Meteors blazed across the atmosphere .,1,1,blazed,VERB,Burn fiercely or brightly.,plumes of smoke rose from fires blazing around the city
the flowers were nodding in the breeze .,1,3,nodding,VERB,"Lower and raise one's head slightly and briefly, especially in greeting, assent, or understanding, or to give someone a signal.",he looked around for support and everyone nodded
"Suddenly , the proprietor emerged from his office .",0,4,emerged,VERB,Move out of or away from something and become visible.,black ravens emerged from the fog
He leaned his rifle against the wall .,0,1,leaned,VERB,Be in or move into a sloping position.,he leaned back in his chair
Our dog sheds every Spring .,0,2,sheds,VERB,Park (a vehicle) in a depot.,the buses were temporarily shedded in that depot
We must acknowledge the kindness she showed towards us .,0,2,acknowledge,VERB,Accept or admit the existence or truth of.,the plight of the refugees was acknowledged by the authorities
Please communicate this message to all employees .,0,1,communicate,VERB,"Share or exchange information, news, or ideas.",the prisoner was forbidden to communicate with his family
Our office is fully computerized now .,0,4,computerized,VERB,"Adapt (a system, device, etc.) to be operated by computer.",he directed the finance department to computerize the entire pension system
The spasm convulses her facial muscles .,0,2,convulses,VERB,"Suffer violent involuntary contraction of the muscles, producing contortion of the body or limbs.","she convulsed , collapsing to the floor with the pain"
She smashed her car against the guard rail .,0,1,smashed,VERB,Violently break (something) into pieces.,the thief smashed a window to get into the car
European children learn the breast stroke ; they often do n't know how to crawl .,0,14,crawl,VERB,Move forward on the hands and knees or by dragging the body close to the ground.,they crawled from under the table
Her violent feelings palpitated the young woman 's heart .,0,3,palpitated,VERB,"(of the heart) beat rapidly, strongly, or irregularly.",his heart was palpitating and his palms sweated
The garbage flushed down the river .,0,2,flushed,VERB,"(of a person's skin, face, etc.) become red and hot, typically as the result of illness or strong emotion.",Rachel flushed angrily
The path ascended to the top of the hill .,0,2,ascended,VERB,Go up or climb.,she ascended the stairs
heap firewood around the fireplace .,0,0,heap,VERB,A great deal.,‘ How do you like Maggie ? ’ ‘ I like you heaps better ! ’
The drug smugglers landed the heroin on the beach of the island .,0,3,landed,VERB,Put (someone or something) on land from a boat.,he landed his troops at Hastings
He never acknowledges his colleagues when they run into him in the hallway .,0,2,acknowledges,VERB,Accept or admit the existence or truth of.,the plight of the refugees was acknowledged by the authorities
He brushed the wall lightly .,0,1,brushed,VERB,Remove (dust or dirt) by sweeping or scrubbing.,we 'll be able to brush the mud off easily
He painted his mistress many times .,0,1,painted,VERB,Cover the surface of (something) with paint.,the ceiling was painted dark grey
This dress fastens in the back .,0,2,fastens,VERB,Close or do up securely.,the tunic was fastened with a row of gilt buttons
The nurse pricked my finger to get a small blood sample .,0,2,pricked,VERB,Make a small hole in (something) with a sharp point; pierce slightly.,prick the potatoes with a fork
Have you stuffed the turkey yet ?,0,2,stuffed,VERB,Fill (a receptacle or space) tightly with something.,an old teapot stuffed full of cash
The nightingale was singing .,0,3,singing,VERB,"Make musical sounds with the voice, especially words with a set tune.",Bella sang to the baby
The cord is all twisted .,0,4,twisted,VERB,"Form into a bent, curling, or distorted shape.",a strip of metal is twisted to form a hollow tube
He peeped at the woman through the window .,0,1,peeped,VERB,"Look quickly and furtively at something, especially through a narrow opening.",his door was ajar and she could n't resist peeping in
male birds tread the females .,0,2,tread,VERB,Walk in a specified way.,Rosa trod as lightly as she could
She was singing while she was cooking .,0,2,singing,VERB,"Make musical sounds with the voice, especially words with a set tune.",Bella sang to the baby
The wind ruffled the surface of the water .,0,2,ruffled,VERB,"Disorder or disarrange (someone's hair), typically by running one's hands through it.",he ruffled her hair affectionately
They computerized the car industry .,0,1,computerized,VERB,"Adapt (a system, device, etc.) to be operated by computer.",he directed the finance department to computerize the entire pension system
She whistled a melody .,0,1,whistled,VERB,"Emit a clear, high-pitched sound by forcing breath through a small hole between one's lips or teeth.",the audience cheered and whistled
Your children have infected you with this head cold .,0,3,infected,VERB,"Affect (a person, organism, etc.) with a disease-causing organism.",pregnant women who may have been infected with the virus
She locked her jewels in the safe .,0,1,locked,VERB,Fasten or secure (something) with a lock.,she closed and locked her desk
She neutralized the solution .,0,1,neutralized,VERB,Make (something) ineffective by applying an opposite force or effect.,impatience at his frailty began to neutralize her fear
This rare Bordeaux must be allowed to breathe for at least 2 hours .,0,7,breathe,VERB,"Take air into the lungs and then expel it, especially as a regular physiological process.",she was breathing deeply
letters trenched into the stone .,0,1,trenched,VERB,Dig a trench or trenches in (the ground),she trenched the terrace to a depth of 6 feet
She poisoned her husband .,0,1,poisoned,VERB,"Administer poison to (a person or animal), either deliberately or accidentally.",someone had tried to poison me
The sun radiates heat .,0,2,radiates,VERB,"Emit (energy, especially light or heat) in the form of rays or waves.",the hot stars radiate energy
Gun shots volleyed at the attackers .,0,2,volleyed,VERB,"(in sport, especially tennis or soccer) strike or kick (the ball) before it touches the ground.",she volleyed the ball home
We can compare the Han dynasty to the Romans .,0,2,compare,VERB,"Estimate, measure, or note the similarity or dissimilarity between.",individual schools compared their facilities with those of others in the area
paste the sign on the wall .,0,0,paste,VERB,Coat with paste.,"when coating walls with fabric , paste the wall , not the fabric"
The pirates raided the coastal villages regularly .,0,2,raided,VERB,Conduct a raid on.,officers raided thirty homes yesterday
sow the ground with sunflower seeds .,0,0,sow,VERB,Plant (seed) by scattering it on or in the earth.,fill a pot with compost and sow a thin layer of seeds on top
The child drowned in the lake .,0,2,drowned,VERB,Die through submersion in and inhalation of water.,a motorist drowned when her car plunged off the edge of a quay
The father is portrayed as a good - looking man in this painting .,0,3,portrayed,VERB,Depict (someone or something) in a work of art or literature.,the ineffectual Oxbridge dons portrayed by Evelyn Waugh
They mounted the aerator on a floating .,0,1,mounted,VERB,"Climb up (stairs, a hill, or other rising surface)",he mounted the steps
answer the telephone .,0,0,answer,VERB,Say or write something as a reaction to someone or something.,"‘ Of course I can , ’ she answered"
negociate securities .,0,0,negociate,VERB,Obtain or bring about by discussion.,he negotiated a new contract with the sellers
The policeman downed the heavily armed suspect .,0,2,downed,VERB,"Towards or in a lower place or position, especially to or on the ground or another surface.",she looked down
this snake swims through the soil where it lives .,0,2,swims,VERB,"Propel the body through water by using the limbs, or (in the case of a fish or other aquatic animal) by using fins, tail, or other bodily movement.",they swam ashore
John compared his haircut to his friend 's .,0,1,compared,VERB,"Estimate, measure, or note the similarity or dissimilarity between.",individual schools compared their facilities with those of others in the area
Drive carefully -- the wet road reflects .,0,6,reflects,VERB,"(of a surface or body) throw back (heat, light, or sound) without absorbing it.",when the sun 's rays hit the Earth a lot of the heat is reflected back into space
This boss abuses his workers .,0,2,abuses,VERB,Use (something) to bad effect or for a bad purpose; misuse.,the judge abused his power by imposing the fines
The bird ruffled its feathers .,0,2,ruffled,VERB,"Disorder or disarrange (someone's hair), typically by running one's hands through it.",he ruffled her hair affectionately
The fishermen tied their flies .,0,2,tied,VERB,Attach or fasten with string or similar cord.,they tied Max to a chair
The two pieces match .,0,3,match,VERB,Correspond or cause to correspond in some essential respect; make or be harmonious.,I thought we 'd have primrose walls to match the bath
The prisoner tugged at the chains .,0,2,tugged,VERB,Pull (something) hard or suddenly.,she tugged off her boots
trench the fallen soldiers .,0,0,trench,VERB,Dig a trench or trenches in (the ground),she trenched the terrace to a depth of 6 feet
her sunglasses reflected his image .,0,2,reflected,VERB,"(of a surface or body) throw back (heat, light, or sound) without absorbing it.",when the sun 's rays hit the Earth a lot of the heat is reflected back into space
Johnson brushed the hairs from his jacket .,0,1,brushed,VERB,Remove (dust or dirt) by sweeping or scrubbing.,we 'll be able to brush the mud off easily
The container leaked gasoline .,0,2,leaked,VERB,"(of a container or covering) accidentally lose or admit contents, especially liquid or gas, through a hole or crack.",the roof leaked
The enemy exploded the bridge .,0,2,exploded,VERB,"Burst or shatter violently and noisily as a result of rapid combustion, excessive internal pressure, or other process.",an ammunition lorry exploded with a roar
T. Boone Pickens raided many large companies .,0,3,raided,VERB,Conduct a raid on.,officers raided thirty homes yesterday
Our basement flooded during the heavy rains .,0,2,flooded,VERB,Cover or submerge (an area) with water in a flood.,"the dam burst , flooding a small town"
The tanker fueled in Bahrain .,0,2,fueled,VERB,"Supply or power (an industrial plant, vehicle, or machine) with fuel.",power stations fuelled by low-grade coal
just steam the vegetables .,0,1,steam,VERB,Give off or produce steam.,a mug of coffee was steaming at her elbow
The stars gravitate towards each other .,0,2,gravitate,VERB,Move towards or be attracted to a person or thing.,young western Europeans will gravitate to Berlin
The rubber ball bounced .,0,3,bounced,VERB,"(with reference to an object, especially a ball) move quickly up, back, or away from a surface after hitting it.",the ball bounced away and he chased it
Age had dulled the surface .,0,2,dulled,VERB,Make or become dull or less intense.,time dulls the memory
The question concerning the meaning of life can not be answered .,0,10,answered,VERB,Say or write something as a reaction to someone or something.,"‘ Of course I can , ’ she answered"
Will this wallpaper adhere to the wall ?,0,3,adhere,VERB,Stick fast to (a surface or substance),paint wo n't adhere well to a greasy surface
relax the tension on the rope .,0,0,relax,VERB,Make or become less tense or anxious.,he relaxed and smiled confidently
engraved the trophy cupt with the winner 's .,0,0,engraved,VERB,Cut or carve (a text or design) on the surface of a hard object.,my name was engraved on the ring
The prince was crowned in Westminster Abbey .,0,3,crowned,VERB,Ceremonially place a crown on the head of (someone) in order to invest them as a monarch.,he went to Rome to be crowned
He communicated his anxieties to the psychiatrist .,0,1,communicated,VERB,"Share or exchange information, news, or ideas.",the prisoner was forbidden to communicate with his family
He trenched his military camp .,0,1,trenched,VERB,Dig a trench or trenches in (the ground),she trenched the terrace to a depth of 6 feet
It can transform energy to light .,0,2,transform,VERB,"Make a marked change in the form, nature, or appearance of.",lasers have transformed cardiac surgery
A hot bath always relaxes me .,0,4,relaxes,VERB,Make or become less tense or anxious.,he relaxed and smiled confidently
the bodybuilder 's neck muscles tensed .,0,5,tensed,VERB,"Become tense, typically through anxiety or nervousness.",her body tensed up
pin the needle to the shirt .,0,0,pin,VERB,Attach or fasten with a pin or pins.,he pinned the badge on to his lapel
lined books are more enduring .,0,0,lined,VERB,Stand or be positioned at intervals along.,a processional route lined by people waving flags
Please use a computerized disctionary .,0,3,computerized,VERB,"Adapt (a system, device, etc.) to be operated by computer.",he directed the finance department to computerize the entire pension system
snow drifting several feet high .,0,1,drifting,VERB,Be carried slowly by a current of air or water.,the cabin cruiser started to drift downstream
our new colleague relaxed when he saw that we were a friendly group .,0,3,relaxed,VERB,Make or become less tense or anxious.,he relaxed and smiled confidently
the invaders seized the land and property of the inhabitants .,0,2,seized,VERB,Take hold of suddenly and forcibly.,she jumped up and seized his arm
I inherited my good eyesight from my mother .,0,1,inherited,VERB,"Receive (money, property, or a title) as an heir at the death of the previous holder.",she inherited a fortune from her father
the pig was rooting for truffles .,0,3,rooting,VERB,Cause (a plant or cutting) to grow roots.,root your own cuttings from stock plants
The children wrestled in the garden .,0,2,wrestled,VERB,"Take part in a fight, either as sport or in earnest, that involves grappling with one's opponent and trying to throw or force them to the ground.",he wrestled with the intruder before being knocked unconscious
The brothers sell shoes .,0,2,sell,VERB,Give or hand over (something) in exchange for money.,they had sold the car
She was wearing yellow that day .,0,2,wearing,VERB,"Have (something) on one's body as clothing, decoration, or protection.",he was wearing a dark suit
smother the meat in gravy .,0,0,smother,VERB,Kill (someone) by covering their nose and mouth so that they suffocate.,I dreamt a stranger was trying to kill me by smothering me with a pillow
The sailors decided to tack the boat .,0,4,tack,VERB,Fasten or fix in place with tacks.,he used the tool to tack down sheets of fibreboard
The police raided the crack house .,0,2,raided,VERB,Conduct a raid on.,officers raided thirty homes yesterday
The motorcycle smashed into the guard rail .,0,2,smashed,VERB,Violently break (something) into pieces.,the thief smashed a window to get into the car
The State taxes alcohol heavily .,0,2,taxes,VERB,Impose a tax on (someone or something),the income will be taxed at the top rate
The vessel was shipwrecked .,0,3,shipwrecked,VERB,(of a person or ship) suffer a shipwreck.,the English envoy was shipwrecked off the coast of Sardinia and nearly drowned
I can breathe better when the air is clean .,0,2,breathe,VERB,"Take air into the lungs and then expel it, especially as a regular physiological process.",she was breathing deeply
The crocodile was crawling along the riverbed .,0,3,crawling,VERB,Move forward on the hands and knees or by dragging the body close to the ground.,they crawled from under the table
color the walls with paint in warm tones .,0,0,color,VERB,"Change the colour of (something) by painting, dyeing, or shading it.",he coloured her hair with a selection of blonde and brown shades
The sun melted the ice .,0,2,melted,VERB,Make or become liquefied by heat.,the hot metal melted the wax
The patient must drink several liters each day .,0,3,drink,VERB,Take (a liquid) into the mouth and swallow.,"we sat by the fire , drinking our tea"
This sum will buy you a ride on the train .,0,3,buy,VERB,Obtain in exchange for payment.,she bought six first-class stamps
We had to swim for 20 minutes to reach the shore .,0,3,swim,VERB,"Propel the body through water by using the limbs, or (in the case of a fish or other aquatic animal) by using fins, tail, or other bodily movement.",they swam ashore
this plant roots quickly .,0,2,roots,VERB,Cause (a plant or cutting) to grow roots.,root your own cuttings from stock plants
The car crushed the toy .,0,2,crushed,VERB,"Compress or squeeze forcefully so as to break, damage, or distort in shape.",the front of his car was crushed in the collision
He nodded his approval .,0,1,nodded,VERB,"Lower and raise one's head slightly and briefly, especially in greeting, assent, or understanding, or to give someone a signal.",he looked around for support and everyone nodded
Are the letters properly stamped ?,0,4,stamped,VERB,Bring down (one's foot) heavily on the ground or on something on the ground.,he stamped his foot in frustration
Water leaked out of the can into the backpack .,0,1,leaked,VERB,"(of a container or covering) accidentally lose or admit contents, especially liquid or gas, through a hole or crack.",the roof leaked
spot the areas that one should clearly identify .,0,0,spot,VERB,"See, notice, or recognize (someone or something) that is difficult to detect or that one is searching for.",Andrew spotted the advert in the paper
We do n't know the woman who posed for Leonardo so often .,0,7,posed,VERB,Present or constitute (a problem or danger),the sheer number of visitors is posing a threat to the area
she lightened the load on the tired donkey .,0,1,lightened,VERB,"Make or become lighter in weight, pressure, or severity.",efforts to lighten the burden of regulation
The bellies of the starving children are swelling .,0,7,swelling,VERB,"(especially of a part of the body) become larger or rounder in size, typically as a result of an accumulation of fluid.",her bruised knee was already swelling up
Lock the bike to the fence !,0,0,Lock,VERB,Fasten or secure (something) with a lock.,she closed and locked her desk
She molded the rice balls carefully .,0,1,molded,VERB,,
He loaded his gun carefully .,0,1,loaded,VERB,"Fill (a vehicle, ship, container, etc.) with a large amount of something.",they go to Calais to load up their vans with cheap beer
crush an aluminum can .,0,0,crush,VERB,"Compress or squeeze forcefully so as to break, damage, or distort in shape.",the front of his car was crushed in the collision
The Turks besieged Vienna .,0,2,besieged,VERB,Surround (a place) with armed forces in order to capture it or force its surrender.,the king marched north to besiege Berwick
The crowd pushed forward .,0,2,pushed,VERB,Exert force on (someone or something) in order to move them away from oneself.,she pushed her glass towards him
The passenger grabbed for the oxygen mask .,0,2,grabbed,VERB,Grasp or seize suddenly and roughly.,she grabbed him by the shirt collar
The teacher nodded when the student gave the right answer .,0,2,nodded,VERB,"Lower and raise one's head slightly and briefly, especially in greeting, assent, or understanding, or to give someone a signal.",he looked around for support and everyone nodded
He fastened the lock onto the door .,0,1,fastened,VERB,Close or do up securely.,the tunic was fastened with a row of gilt buttons
He made some sexual advances at the woman in his office and groped her repeatedly .,0,12,groped,VERB,Search blindly or uncertainly by feeling with the hands.,she groped for her spectacles
The roofer began to gutter the buildings .,0,4,gutter,VERB,(of a candle or flame) flicker and burn unsteadily.,"The candle flickered , and after a moment , the little flame guttered out ."
spread cheese on a piece of bread .,0,0,spread,VERB,"Open out (something) so as to extend its surface area, width, or length.",I spread a towel on the sand and sat down
Goering often hunted wild boars in Poland .,0,2,hunted,VERB,Pursue and kill (a wild animal) for sport or food.,in the autumn they hunted deer
the bullet pinged when they struck the car .,0,2,pinged,VERB,"Make or cause to make a short, high-pitched ringing sound.",the doorbell pinged
He and his sons have n't communicated for years .,0,6,communicated,VERB,"Share or exchange information, news, or ideas.",the prisoner was forbidden to communicate with his family
The athlete pumps weights in the gym .,0,2,pumps,VERB,"Force (liquid, gas, etc.) to move by or as if by means of a pump.",the blood is pumped around the body
The room lightened up .,0,2,lightened,VERB,"Make or become lighter in weight, pressure, or severity.",efforts to lighten the burden of regulation
The wine spotted the tablecloth .,0,2,spotted,VERB,"See, notice, or recognize (someone or something) that is difficult to detect or that one is searching for.",Andrew spotted the advert in the paper
Her feet blistered during the long hike .,0,2,blistered,VERB,Form blisters on the skin or other surface.,the surface of the door began to blister
The sun radiates heat .,0,2,radiates,VERB,"Emit (energy, especially light or heat) in the form of rays or waves.",the hot stars radiate energy
the infection spread .,0,2,spread,VERB,"Open out (something) so as to extend its surface area, width, or length.",I spread a towel on the sand and sat down
lay the books on the table .,0,0,lay,VERB,Put (something) down gently or carefully.,she laid the baby in his cot
grind the spices in a mortar .,0,0,grind,VERB,Reduce (something) to small particles or powder by crushing it.,grind some black pepper over the salad
The bugs pinged the lamp shade .,0,2,pinged,VERB,"Make or cause to make a short, high-pitched ringing sound.",the doorbell pinged
map the surface of Venus .,0,0,map,VERB,Represent (an area) on a map; make a map of.,inaccessible parts will be mapped from the air
The curtain ripped from top to bottom .,0,2,ripped,VERB,Tear or pull (something) quickly or forcibly away from something or someone.,a fan tried to rip his trousers off during a show
The needle pierced her flesh .,0,2,pierced,VERB,(of a sharp pointed object) go into or through (something),a splinter had pierced the skin
Can you taste the garlic ?,0,2,taste,VERB,Perceive or experience the flavour of.,she had never tasted ice cream before
The wax melted in the sun .,0,2,melted,VERB,Make or become liquefied by heat.,the hot metal melted the wax
We ferment the grapes for a very long time to achieve high alcohol content .,0,1,ferment,VERB,(of a substance) undergo fermentation.,"the drink had fermented , turning some of the juice into alcohol"
The doctors revived the comatose man .,0,2,revived,VERB,Restore to life or consciousness.,"both men collapsed , but were revived"
She talks a lot of nonsense .,0,1,talks,VERB,Speak in order to give information or express ideas or feelings; converse or communicate by spoken words.,the two men talked
The truck dumped the garbage in the street .,0,2,dumped,VERB,"Deposit or dispose of (rubbish, waste, or unwanted material), typically in a careless or hurried way.","trucks dumped 1,900 tons of refuse here"
The wrestler twisted his shoulder .,0,2,twisted,VERB,"Form into a bent, curling, or distorted shape.",a strip of metal is twisted to form a hollow tube
We have n't even begun to map the many galaxies that we know exist .,0,6,map,VERB,Represent (an area) on a map; make a map of.,inaccessible parts will be mapped from the air
the salesman pounded the door knocker .,0,2,pounded,VERB,Strike or hit heavily and repeatedly.,Patrick pounded the couch with his fists
The actress abused the policeman who gave her a parking ticket .,0,2,abused,VERB,Use (something) to bad effect or for a bad purpose; misuse.,the judge abused his power by imposing the fines
She shed a lot of tears when this happened .,0,1,shed,VERB,Park (a vehicle) in a depot.,the buses were temporarily shedded in that depot
The pothole fractured a bolt on the axle .,0,2,fractured,VERB,Break or cause to break.,the stone has fractured
Did you ever climb up the hill behind your house ?,0,3,climb,VERB,Go or come up a (slope or staircase); ascend.,we began to climb the hill
"Curl my hair , please .",0,0,Curl,VERB,Form or cause to form into a curved or spiral shape.,her fingers curled round the microphone
